ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 15:37:21+00:00,194.19,194.19,194.19,194.19,100,2,194.19
2024-06-03 15:37:22+00:00,,,,,0,0,
2024-06-03 15:37:23+00:00,194.19,194.22,194.19,194.22,1863,26,194.2041760601181
2024-06-03 15:37:24+00:00,194.22,194.22,194.22,194.22,29,4,194.22
2024-06-03 15:37:25+00:00,194.23,194.24,194.23,194.24,573,10,194.23249563699827
2024-06-03 15:37:26+00:00,194.25,194.27,194.25,194.27,428,9,194.26383177570094
2024-06-03 15:37:27+00:00,194.27,194.27,194.26,194.26,520,7,194.26511538461537
2024-06-03 15:37:28+00:00,,,,,0,0,
2024-06-03 15:37:29+00:00,194.26,194.26,194.26,194.26,450,10,194.26
2024-06-03 15:37:30+00:00,194.24,194.24,194.21,194.22,1421,14,194.23185080928926
2024-06-03 15:37:31+00:00,,,,,0,0,
2024-06-03 15:37:32+00:00,194.21,194.21,194.21,194.21,500,14,194.21
2024-06-03 15:37:33+00:00,194.2,194.2,194.2,194.2,5,1,194.2
2024-06-03 15:37:34+00:00,194.21,194.21,194.19,194.19,494,12,194.2021862348178
2024-06-03 15:37:35+00:00,194.19,194.19,194.19,194.19,294,5,194.19000000000003
2024-06-03 15:37:36+00:00,,,,,0,0,
2024-06-03 15:37:37+00:00,,,,,0,0,
2024-06-03 15:37:38+00:00,,,,,0,0,
2024-06-03 15:37:39+00:00,,,,,0,0,
2024-06-03 15:37:40+00:00,,,,,0,0,
2024-06-03 15:37:41+00:00,,,,,0,0,
2024-06-03 15:37:42+00:00,,,,,0,0,
2024-06-03 15:37:43+00:00,,,,,0,0,
2024-06-03 15:37:44+00:00,194.21,194.21,194.21,194.21,241,4,194.21
2024-06-03 15:37:45+00:00,194.21,194.21,194.21,194.21,500,4,194.21
2024-06-03 15:37:46+00:00,,,,,0,0,
2024-06-03 15:37:47+00:00,194.2,194.2,194.2,194.2,729,16,194.2
2024-06-03 15:37:48+00:00,194.2,194.2,194.19,194.2,33,3,194.19242424242424
2024-06-03 15:37:49+00:00,,,,,0,0,
2024-06-03 15:37:50+00:00,194.19,194.19,194.18,194.18,456,10,194.1812061403509
2024-06-03 15:37:51+00:00,194.18,194.18,194.18,194.18,100,1,194.18
2024-06-03 15:37:52+00:00,,,,,0,0,
2024-06-03 15:37:53+00:00,194.18,194.18,194.18,194.18,531,9,194.18
2024-06-03 15:37:54+00:00,,,,,0,0,
2024-06-03 15:37:55+00:00,194.19,194.19,194.17,194.17,513,9,194.1838986354776
2024-06-03 15:37:56+00:00,,,,,0,0,
2024-06-03 15:37:57+00:00,194.18,194.18,194.18,194.18,156,2,194.18
2024-06-03 15:37:58+00:00,,,,,0,0,
2024-06-03 15:37:59+00:00,,,,,0,0,
2024-06-03 15:38:00+00:00,194.19,194.19,194.19,194.19,731,10,194.19000000000003
2024-06-03 15:38:01+00:00,194.19,194.2,194.19,194.2,546,8,194.19998168498168
2024-06-03 15:38:02+00:00,194.2,194.2,194.2,194.2,1,1,194.2
2024-06-03 15:38:03+00:00,194.21,194.21,194.21,194.21,1,1,194.21
2024-06-03 15:38:04+00:00,194.21,194.21,194.21,194.21,579,5,194.21
2024-06-03 15:38:05+00:00,194.2,194.2,194.2,194.2,202,3,194.20000000000002
2024-06-03 15:38:06+00:00,194.19,194.19,194.18,194.18,327,6,194.1869113149847
2024-06-03 15:38:07+00:00,194.17,194.18,194.16,194.17,8992,24,194.17010787366547
2024-06-03 15:38:08+00:00,194.16,194.16,194.16,194.16,1,1,194.16
2024-06-03 15:38:09+00:00,194.16,194.16,194.16,194.16,646,8,194.16
2024-06-03 15:38:10+00:00,194.16,194.18,194.16,194.18,2280,21,194.16991228070177
2024-06-03 15:38:11+00:00,194.175,194.175,194.175,194.175,8,1,194.175
2024-06-03 15:38:12+00:00,194.17,194.17,194.17,194.17,1,1,194.17
2024-06-03 15:38:13+00:00,194.18,194.18,194.18,194.18,693,7,194.17999999999998
2024-06-03 15:38:14+00:00,194.17,194.17,194.17,194.17,100,3,194.17
2024-06-03 15:38:15+00:00,,,,,0,0,
2024-06-03 15:38:16+00:00,194.17,194.17,194.17,194.17,208,5,194.17000000000002
2024-06-03 15:38:17+00:00,194.16,194.17,194.16,194.17,119,6,194.1684033613445
2024-06-03 15:38:18+00:00,194.18,194.18,194.18,194.18,1109,10,194.18
2024-06-03 15:38:19+00:00,194.17,194.17,194.17,194.17,3,1,194.17
